Cosmetic Products Regulation, Annex III - Restricted Substances
Note: Group entries are split in different rows.
Export date: 06/05/2026 21:21:06
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	""	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"CAS"	"EC Number"	"Product type, body parts"	"Function(s)"	"Maximum Threshold"	"Minimum Threshold"	"Restriction(s)"	"Qualifier(s)"	"Expressed As"	"Warning Label"	"Notes"	
"(R)-p-Mentha-1,8-diene;d-Limonene"	"227-813-5"	"5989-27-5"	"88"	"d-Limonene(R)-p-Mentha-1,8-diene"	"5989-27-5"	"227-813-5"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off productsPeroxide value less than 20 mmoles/L"	""	""	""	"This limit (Peroxide value less than 20 mmoles/L) applies to the substance and not to the finished cosmetic product"	
"(S)-p-Mentha-1,8-diene;l-Limonene"	"227-815-6"	"5989-54-8"	"88"	"(S)-p-Mentha-1,8-dienel-Limonene"	"5989-54-8"	"227-815-6"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off productsPeroxide value less than 20 mmoles/L"	""	""	""	"This limit (Peroxide value less than 20 mmoles/L) applies to the substance and not to the finished cosmetic productCosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"(Z)-1-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2-buten-1-one"	"245-843-7"	"23726-92-3"	"157"	"(Z)-1-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2-buten-1-one"	"23726-92-3"	"245-843-7"	"Cosmetic products other than oral products"	""	"0.02 %"	""	"The presence of the substance or substances shall be indicated as &#39;Rose ketones&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"The sum of those substances used in combination should not exceed the limits given as &#39;Maximum concentration in ready for use preparation&#39;Cosmetic products containing that substance that do not comply with the restrictions may, provided that they comply with the restrictions applicable on 15 August 2023, be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"(Z)-1-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2-buten-1-one"	"245-843-7"	"23726-92-3"	"157"	"(Z)-1-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2-buten-1-one"	"23726-92-3"	"245-843-7"	"Oral products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Rose ketones&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"The sum of those substances used in combination should not exceed the limits given as &#39;Maximum concentration in ready for use preparation&#39;Cosmetic products containing that substance that do not comply with the restrictions may, provided that they comply with the restrictions applicable on 15 August 2023, be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"(Z)-1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one"	"245-845-8"	"23726-94-5"	"157"	"(Z)-1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one"	"23726-94-5"	"245-845-8"	"Oral products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Rose ketones&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"The sum of those substances used in combination should not exceed the limits given as &#39;Maximum concentration in ready for use preparation&#39;Cosmetic products containing that substance that do not comply with the restrictions may, provided that they comply with the restrictions applicable on 15 August 2023, be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"(Z)-1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one"	"245-845-8"	"23726-94-5"	"157"	"(Z)-1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one"	"23726-94-5"	"245-845-8"	"Cosmetic products other than oral products"	""	"0.02 %"	""	"The presence of the substance or substances shall be indicated as &#39;Rose ketones&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"The sum of those substances used in combination should not exceed the limits given as &#39;Maximum concentration in ready for use preparation&#39;Cosmetic products containing that substance that do not comply with the restrictions may, provided that they comply with the restrictions applicable on 15 August 2023, be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"(Z)-2-Methoxy-4-(prop-1-enyl)phenol;cis-Isoeugenol"	"227-633-7"	"5912-86-7"	"73"	"(Z)-2-Methoxy-4-(prop-1-enyl)phenolcis-Isoeugenol"	"5912-86-7"	"227-633-7"	"Oral products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	""	
"(Z)-2-Methoxy-4-(prop-1-enyl)phenol;cis-Isoeugenol"	"227-633-7"	"5912-86-7"	"73"	"(Z)-2-Methoxy-4-(prop-1-enyl)phenolcis-Isoeugenol"	"5912-86-7"	"227-633-7"	"Cosmetic products other than oral products"	""	"0.02 %"	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	""	
"(Z)-3,7-Dimethylocta-2,6-dienal"	"203-379-2"	"106-26-3"	"70"	"(Z)-3,7-Dimethylocta-2,6-dienal"	"106-26-3"	"203-379-2"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"(±)-3,7-dimethyloct-6-en-1-ol;Citronellol"	"203-375-0"	"106-22-9"	"86"	"(±)-3,7-dimethyloct-6-en-1-olCitronellol"	"106-22-9"	"203-375-0"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	""	
