Cosmetic Products Regulation, Annex III - Restricted Substances
Note: Group entries are split in different rows.
Export date: 06/05/2026 21:21:06
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	""	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"CAS"	"EC Number"	"Product type, body parts"	"Function(s)"	"Maximum Threshold"	"Minimum Threshold"	"Restriction(s)"	"Qualifier(s)"	"Expressed As"	"Warning Label"	"Notes"	
"CI 62045;Sodium 1-amino-4-(cyclohexylamino)-9,10-dihydro-9,10-dioxoanthracene-2-sulphonate"	"224-460-9"	"4368-56-3"	"195"	"Sodium 1-amino-4-(cyclohexylamino)-9,10-dihydro-9,10-dioxoanthracene-2-sulphonateCI 62045"	"4368-56-3"	"224-460-9"	"Hair dye substance in non-oxidative hair dye products"	""	"0.5 %"	""	"Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	""	""	"The free base and salts of this hair colouring ingredient, unless prohibited under Annex II, are permitted for use"	
"Cinchonan-9-ol, 6'-methoxy-, (8α, 9R)-"	"205-003-2"	"130-95-0"	"21"	"Cinchonan-9-ol, 6&#39;-methoxy-, (8α, 9R)-"	"130-95-0"	"205-003-2"	"Rinse-off hair products"	""	"0.5 %"	""	""	""	"As quinine base"	""	""	
"Cinchonan-9-ol, 6'-methoxy-, (8α, 9R)-"	"205-003-2"	"130-95-0"	"21"	"Cinchonan-9-ol, 6&#39;-methoxy-, (8α, 9R)-"	"130-95-0"	"205-003-2"	"Leave-on hair products"	""	"0.2 %"	""	""	""	"As quinine base"	""	""	
"Cinnamomum cassia leaf extract"	"284-635-0"	"84961-46-6"	"348"	"Cinnamomum cassia leaf extract"	"84961-46-6"	"284-635-0"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Cinnamomum cassia leaf oil"	"616-916-4"	"8007-80-5"	"348"	"Cinnamomum cassia leaf oil"	"8007-80-5"	""	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Cinnamomum zeylanicum bark extract;Cinnamomum zeylanicum bark oil"	"283-479-0"	"8015-91-6;84649-98-9"	"349"	"Cinnamomum zeylanicum bark oil"	"8015-91-6"	""	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Cinnamomum zeylanicum bark extract;Cinnamomum zeylanicum bark oil"	"283-479-0"	"8015-91-6;84649-98-9"	"349"	"Cinnamomum zeylanicum bark extract"	"84649-98-9"	"283-479-0"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Cinnamyl alcohol"	"203-212-3"	"104-54-1"	"69"	"Cinnamyl alcohol"	"104-54-1"	"203-212-3"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	""	
"Citrus aurantium amara and dulcis flower oils"	"639-655-8"	"8016-38-4"	"350"	"Citrus aurantium amara and dulcis flower oils"	"8016-38-4"	""	"All cosmetic products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Citrus Aurantium Flower Oil&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Citrus aurantium amara extract;Citrus aurantium amara peel extract;Citrus aurantium amara peel oil"	"277-143-2"	"68916-04-1;72968-50-4"	"351"	"Citrus aurantium amara peel oil"	"68916-04-1"	""	"All cosmetic products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Citrus Aurantium Peel Oil&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Citrus aurantium amara extract;Citrus aurantium amara peel extract;Citrus aurantium amara peel oil"	"277-143-2"	"68916-04-1;72968-50-4"	"350351"	"Citrus aurantium amara peel extractCitrus aurantium amara extract"	"72968-50-4"	"277-143-2"	"All cosmetic products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Citrus Aurantium Flower Oil&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Citrus aurantium dulcis flower extract;Citrus aurantium dulcis peel oil"	"232-433-8"	"8028-48-6"	"350351"	"Citrus aurantium dulcis peel oilCitrus aurantium dulcis flower extract"	"8028-48-6"	"232-433-8"	"All cosmetic products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Citrus Aurantium Flower Oil&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Citrus aurantium dulcis peel oil"	"600-006-9"	"8008-57-9"	"351"	"Citrus aurantium dulcis peel oil"	"8008-57-9"	""	"All cosmetic products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Citrus Aurantium Peel Oil&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Citrus limon extract;Citrus limon oil"	"284-515-8"	"8008-56-8;84929-31-7"	"353"	"Citrus limon extract"	"84929-31-7"	"284-515-8"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Citrus limon extract;Citrus limon oil"	"284-515-8"	"8008-56-8;84929-31-7"	"353"	"Citrus limon oil"	"8008-56-8"	""	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Citrus Sinensis peel extract"	"307-891-8"	"97766-30-8"	"351"	"Citrus Sinensis peel extract"	"97766-30-8"	"307-891-8"	"All cosmetic products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Citrus Aurantium Peel Oil&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Commiphora erythrea Engler var. glabrescens Engler gum extract and oil"	"297-649-7"	"93686-00-1"	"183"	"Commiphora erythrea Engler var. glabrescens Engler gum extract and oil"	"93686-00-1"	"297-649-7"	"All cosmetic products"	""	"0.6 %"	""	""	""	""	""	""	
"Compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide, with the exception of the following substances in Annex II: No 1397, 1398, 1399"	"-"	"-"	"12"	"Compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide, with the exception of the following substances in Annex II: No 1397, 1398, 1399"	""	""	"Hair products"	""	"12 %"	""	""	""	"As H2O2 (40 volumes), present or released"	"Wear suitable gloves. Contains hydrogen peroxide. Avoid contact with eyes. Rinse immediately if product comes into contact with them."	""	
"Compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide, with the exception of the following substances in Annex II: No 1397, 1398, 1399"	"-"	"-"	"12"	"Compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide, with the exception of the following substances in Annex II: No 1397, 1398, 1399"	""	""	"Skin products"	""	"4 %"	""	""	""	"As H2O2, present or released"	"Contains hydrogen peroxide. Avoid contact with eyes. Rinse immediately if product comes into contact with them."	""	
"Compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide, with the exception of the following substances in Annex II: No 1397, 1398, 1399"	"-"	"-"	"12"	"Compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide, with the exception of the following substances in Annex II: No 1397, 1398, 1399"	""	""	"Tooth whitening or bleaching products"	""	"6 %"	"0.1 %"	"To be only sold to dental practitionersFor each cycle of use, first use by dental practitioners as defined under Directive 2005/36/EC of the European Parliament and of the Council (Directive 2005/36/EC of the European Parliament and of the Council of 7 September 2005 on the recognition of professional qualifications (OJ L 255, 30.9.2005, p. 22)) or under their direct supervision if an equivalent level of safety is ensured. Afterwards to be provided to the consumer to complete the cycle of useNot to be used on a person under 18 years of age"	""	"As H2O2, present or released"	"Contains hydrogen peroxide. Avoid contact with eyes. Rinse immediately if product comes into contact with them. Concentration of H2O2 present or released indicated in percentage. Not to be used on a person under 18 years of age. To be only sold to dental practitioners. For each cycle of use, the first use to be only done by dental practitioners or under their direct supervision if an equivalent level of safety is ensured. Afterwards to be provided to the consumer to complete the cycle of use."	""	
"Compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide, with the exception of the following substances in Annex II: No 1397, 1398, 1399"	"-"	"-"	"12"	"Compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide, with the exception of the following substances in Annex II: No 1397, 1398, 1399"	""	""	"Oral products (including mouth rinse, tooth paste and tooth whitening or bleaching products)"	""	"0.1 %"	""	""	""	"As H2O2, present or released"	""	""	
"Compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide, with the exception of the following substances in Annex II: No 1397, 1398, 1399"	"-"	"-"	"12"	"Compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide, with the exception of the following substances in Annex II: No 1397, 1398, 1399"	""	""	"Products for hardening nails"	""	"2 %"	""	""	""	"As H2O2, present or released"	"Contains hydrogen peroxide. Avoid contact with eyes. Rinse immediately if product comes into contact with them."	""	
"Compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide, with the exception of the following substances in Annex II: No 1397, 1398, 1399"	"-"	"-"	"12"	"Compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide, with the exception of the following substances in Annex II: No 1397, 1398, 1399"	""	""	"Professional use cosmetic products for eyelashes"	""	"2 %"	""	"For professional use only"	""	"As H2O2, present or released"	"Wear suitable gloves. To be printed on the label: &#39;&#39;For professional use only. Avoid contact with eyes. Rinse eyes immediately if product comes into contact with them. Contains hydrogen peroxide.&#39;&#39;"	""	
"Cresylpropionaldehyde;p-Methyldihydrocinnamaldehyde;p-methylhydrocinnamic aldehyde"	"226-460-4"	"5406-12-2"	"179"	"p-MethyldihydrocinnamaldehydeCresylpropionaldehydep-methylhydrocinnamic aldehyde"	"5406-12-2"	"226-460-4"	"All cosmetic products"	""	"0.2 %"	""	""	""	""	""	""	
"Cuminum cyminum oil and extract"	"283-881-6"	"84775-51-9"	"156"	"Cuminum cyminum oil and extract"	"84775-51-9"	"283-881-6"	"Leave-on products"	""	"0.4 %"	""	""	"Of cumin oil"	""	""	""	
"Cuminum cyminum oil and extract"	"283-881-6"	"84775-51-9"	"156"	"Cuminum cyminum oil and extract"	"84775-51-9"	"283-881-6"	"Rinse-off products"	""	""	""	""	""	""	""	""	
"Cupressus sempervirens oil and extract"	"283-626-9"	"84696-07-1"	"123"	"Cupressus sempervirens oil and extract"	"84696-07-1"	"283-626-9"	"All cosmetic products"	""	""	""	"Peroxide value less than 10 mmoles/L"	""	""	""	"This limit applies to the substance and not to the finished cosmetic product"	
"Cymbopogon citratus oils"	"616-903-3"	"8007-02-1"	"354"	"Cymbopogon citratus oils"	"8007-02-1"	""	"All cosmetic products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Lemongrass Oil&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Cymbopogon flexuosus oils"	"295-161-9"	"91844-92-7"	"354"	"Cymbopogon flexuosus oils"	"91844-92-7"	"295-161-9"	"All cosmetic products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Lemongrass Oil&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Cymbopogon schoenanthus oils"	"289-754-1"	"89998-16-3"	"354"	"Cymbopogon schoenanthus oils"	"89998-16-3"	"289-754-1"	"All cosmetic products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Lemongrass Oil&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"d-Menthol"	"239-387-8"	"15356-60-2"	"338"	"d-Menthol"	"15356-60-2"	"239-387-8"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"DEGBE;Diethylene glycol monobutyl ether"	"203-961-6"	"112-34-5"	"187"	"Diethylene glycol monobutyl etherDEGBE"	"112-34-5"	"203-961-6"	"Hair dye products"	"Solvent"	"9 %"	""	"Not to be used in aerosol dispensers (sprays)"	""	""	""	""	
"Derivatives of Peanut oil extracts"	"-"	"-"	"306"	"Derivatives of Peanut oil extracts"	""	""	"All cosmetic products"	""	""	""	"Maximum concentration of peanut proteins is 0.5 ppm"	""	""	""	"From 25 September 2018 cosmetic products containing peanut oil, extracts and derivatives and not complying with that restriction shall not be placed on the Union marketFrom 25 December 2018 cosmetic products containing peanut oil, extracts and derivatives and not complying with that restriction shall not be made available on the Union market"	
"Di-[2-[(E)-2-[4-[bis(2-hydroxyethyl)aminophenyl]vinyl]pyridin-1-ium]-ethyl]disulphide dimethanesulfonate"	"805-210-3"	"1449653-83-1"	"317"	"Di-[2-[(E)-2-[4-[bis(2-hydroxyethyl)aminophenyl]vinyl]pyridin-1-ium]-ethyl]disulphide dimethanesulfonate"	"1449653-83-1"	""	"Hair dye substance in non-oxidative hair dye products"	""	"0.5 %"	""	"As from 3 June 2021: 0.5 % (maximum concentration in ready use preparation). Methanesulfonates impurities, in particular ethyl methanesulfonate shall not be present"	""	""	""	""	
"Di[2-[4-[(E)-2-[2,4,5-trimethoxyphenyl]vinyl] pyridinin-1-ium] butanoyl]aminoethyl]disulfanyl dichloride"	"805-402-7"	"1450801-55-4"	"299"	"Di[2-[4-[(E)-2-[2,4,5-trimethoxyphenyl]vinyl] pyridinin-1-ium] butanoyl]aminoethyl]disulfanyl dichloride"	"1450801-55-4"	""	"Hair dye substance in non-oxidative hair dye products"	""	"0.5 %"	""	""	""	""	"As from 3 March 2018: &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"Di[2-[4-[(E)-2-[4-[bis(2-hydroxyethyl)aminophenyl]vinyl]pyridin-1-ium] butanoyl]aminoethyl] di-sulfanyl dichloride"	"805-105-2"	"1449471-67-3"	"298"	"Di[2-[4-[(E)-2-[4-[bis(2-hydroxyethyl)aminophenyl]vinyl]pyridin-1-ium] butanoyl]aminoethyl] di-sulfanyl dichloride"	"1449471-67-3"	""	"Hair dye substance in non-oxidative hair dye products"	""	"0.5 %"	""	"Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	""	""	""	
"Dibenzoyl peroxide"	"202-327-6"	"94-36-0"	"94"	"Dibenzoyl peroxide"	"94-36-0"	"202-327-6"	"Professional use artificial nail systems"	""	"0.7 %"	""	"For professional use only"	"After mixing for use"	""	"For professional use only. Avoid skin contact. Read directions for use carefully."	""	
"Dichlorophen"	"202-567-1"	"97-23-4"	"11"	"Dichlorophen"	"97-23-4"	"202-567-1"	"All cosmetic products"	""	"0.5 %"	""	""	""	""	"Contains Dichlorophen"	""	
"Dipotassium fluorophosphate"	"237-957-0"	"14104-28-0"	"28"	"Dipotassium fluorophosphate"	"14104-28-0"	"237-957-0"	"Oral products"	""	"0.15 %"	""	"When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0.15 %"	""	"As F"	"Contains potassium monofluorophosphate. For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15 % calculated as F unless it is already labelled as contraindicated for children (e.g. &#39;for adult use only&#39;) the following labelling is obligatory: &#39;Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.&#39;"	""	
"Dipotassium hexafluorosilicate"	"240-896-2"	"16871-90-2"	"41"	"Dipotassium hexafluorosilicate"	"16871-90-2"	"240-896-2"	"Oral products"	""	"0.15 %"	""	"When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0.15 %"	""	"As F"	"Contains potassium fluorosilicate. For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15 % calculated as F unless it is already labelled as contraindicated for children (e.g. &#39;for adult use only&#39;) the following labelling is obligatory: &#39;Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.&#39; case of intake of fluoride from other sources consult a dentist or doctor.&#39;"	""	
"Disodium 2,2'-(9,10-dioxoanthracene-1,4-diyldiimino)bis(5-methylsulphonate)"	"224-546-6"	"4403-90-1"	"290"	"Disodium 2,2&#39;-(9,10-dioxoanthracene-1,4-diyldiimino)bis(5-methylsulphonate)"	"4403-90-1"	"224-546-6"	"Hair dye substance in non-oxidative hair dye products"	""	"0.3 %"	""	""	""	""	""	""	
"Disodium 3-hydroxy-4-[(E)-(4-methyl-2-sulfonatophenyl)diazenyl]-2-naphthoate"	"227-497-9"	"5858-81-1"	"296"	"Disodium 3-hydroxy-4-[(E)-(4-methyl-2-sulfonatophenyl)diazenyl]-2-naphthoate"	"5858-81-1"	"227-497-9"	"Hair dye substance in non-oxidative hair dye products"	""	"0.4 %"	""	""	""	""	""	""	
"Disodium fluorophosphate"	"233-433-0"	"10163-15-2"	"27"	"Disodium fluorophosphate"	"10163-15-2"	"233-433-0"	"Oral products"	""	"0.15 %"	""	"When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0.15 %"	""	"As F"	"Contains sodium monofluorophosphate. For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15 % calculated as F unless it is already labelled as contraindicated for children (e.g. &#39;for adult use only&#39;) the following labelling is obligatory: &#39;Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.&#39;"	""	
"Disodium hexafluorosilicate"	"240-934-8"	"16893-85-9"	"40"	"Disodium hexafluorosilicate"	"16893-85-9"	"240-934-8"	"Oral products"	""	"0.15 %"	""	"When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0.15 %"	""	"As F"	"Contains sodium fluorosilicate. For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15 % calculated as F unless it is already labelled as contraindicated for children (e.g. &#39;for adult use only&#39;) the following labelling is obligatory: &#39;Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.&#39; case of intake of fluoride from other sources consult a dentist or doctor.&#39;"	""	
"dl-Menthol"	"201-939-0"	"89-78-1"	"338"	"dl-Menthol"	"89-78-1"	"201-939-0"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"EGBE;Ethylene glycol monobutyl ether"	"203-905-0"	"111-76-2"	"188"	"EGBEEthylene glycol monobutyl ether"	"111-76-2"	"203-905-0"	"Non-oxidative hair dye products"	"Solvent"	"2 %"	""	"Not to be used in aerosol dispensers (sprays)"	""	""	""	""	
"EGBE;Ethylene glycol monobutyl ether"	"203-905-0"	"111-76-2"	"188"	"EGBEEthylene glycol monobutyl ether"	"111-76-2"	"203-905-0"	"Oxidative hair dye products"	"Solvent"	"4 %"	""	"Not to be used in aerosol dispensers (sprays)"	""	""	""	""	
"Esters and alkaline salts of Oxalic acid"	"-"	"-"	"3"	"Esters and alkaline salts of Oxalic acid"	""	""	"Professional use hair products"	""	"5 %"	""	"For professional use only"	""	""	"For professional use only"	""	
"Ethanol, 2,2'-[(2-nitro-1,4-phenylene)diimino]bis-(9CI)"	"281-856-4"	"84041-77-0"	"8c"	"Ethanol, 2,2&#39;-[(2-nitro-1,4-phenylene)diimino]bis-(9CI)"	"84041-77-0"	"281-856-4"	"Hair dye substance in oxidative hair dye products"	""	"1 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.0 %Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg/kgKeep in nitrite-free containers"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after coloring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"Ethanol, 2,2'-[(2-nitro-1,4-phenylene)diimino]bis-(9CI)"	"281-856-4"	"84041-77-0"	"8c"	"Ethanol, 2,2&#39;-[(2-nitro-1,4-phenylene)diimino]bis-(9CI)"	"84041-77-0"	"281-856-4"	"Hair dye substance in non-oxidative hair dye products"	""	"1.5 %"	""	"Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg/kgKeep in nitrite-free containers"	""	""	""	""	
"Ethanol, 2,2'-[[3-methyl-4-[(E)-(4-nitrophenyl)azo]phenyl]imino]bis-"	"221-665-5"	"3179-89-3"	"294"	"Ethanol, 2,2&#39;-[[3-methyl-4-[(E)-(4-nitrophenyl)azo]phenyl]imino]bis-"	"3179-89-3"	"221-665-5"	"Hair dye substance in oxidative hair dye products"	""	"2 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2.0 %Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"Ethanol, 2,2'-[[3-methyl-4-[(E)-(4-nitrophenyl)azo]phenyl]imino]bis-"	"221-665-5"	"3179-89-3"	"294"	"Ethanol, 2,2&#39;-[[3-methyl-4-[(E)-(4-nitrophenyl)azo]phenyl]imino]bis-"	"3179-89-3"	"221-665-5"	"Hair dye substance in non-oxidative hair dye products"	""	"0.2 %"	""	"Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	""	""	""	
"Ethanol, 2,2'-[[4-[(4-aminophenyl)azo]phenyl]imino]bis-"	"243-987-5"	"20721-50-0"	"263"	"Ethanol, 2,2&#39;-[[4-[(4-aminophenyl)azo]phenyl]imino]bis-"	"20721-50-0"	"243-987-5"	"Hair dye substance in non-oxidative hair dye products"	""	"0.3 %"	""	""	"Of the mixture in the ratio 1:1 of 2,2&#39;-[4-(4-aminophenylazo)phenylimino]diethanol and lignosulfate"	""	""	""	
"Ethanol, 2-((4-amino-2-nitrophenyl)amino)-"	"220-701-7"	"2871-01-4"	"266"	"Ethanol, 2-((4-amino-2-nitrophenyl)amino)-"	"2871-01-4"	"220-701-7"	"Hair dye substance in oxidative hair dye products"	""	"0.45 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0.45 %Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"Ethanol, 2-((4-amino-2-nitrophenyl)amino)-"	"220-701-7"	"2871-01-4"	"266"	"Ethanol, 2-((4-amino-2-nitrophenyl)amino)-"	"2871-01-4"	"220-701-7"	"Hair dye substance in non-oxidative hair dye products"	""	"3 %"	""	"Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	""	"&#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
