,borate),PHENYL MERCURIC BENZOATE,43-9,202-331-8,If mixed with other mercurial,,compounds,,
,,,,,compounds authorized by this,,,,
,,,,,"Directive, the maximum",,,,
,,,,,concentration of Hg remains fixed,,,,
,,,,,at 0.007%,,,,
18,Undec-10-enoic acid and its salts,UNDECYLENIC ACID / POTASSIUM,112-38-9 /,203-965-8 / -,0.2% (as acid),,,,16/10/2010
,,UNDECYLENATE / SODIUM,6159-41-7 /,/ 222-264-8,,,,,
,,UNDECYLENATE / CALCIUM,3398-33-2 /,/ 215-331-8,,,,,
,,UNDECYLENATE / MEA-,1322-14-1 /,/ 282-908-9,,,,,
,,UNDECYLENATE / TEA-,84471-25-0 /,/ 260-247-7,,,,,
,,UNDECYLENATE,56532-40-2,,,,,,
19,"5-Pyrimidinamine, 1,3-bis(2-",Hexetidine,141-94-6,205-513-5,0.1%,,,,16/10/2010
,ethylhexyl)hexahydro-5-methyl-,,,,,,,,
20,"5-Bromo-5-nitro-1,3-dioxane","5-BROMO-5-NITRO-1,3-DIOXANE",30007-47-7,250-001-7,0.1%,Avoid formation of nitrosamines,,,02/08/2021
21,Bronopol,"2-BROMO-2-NITROPROPANE-1,3-",52-51-7,200-143-0,0.1%,Avoid formation of nitrosamines,,,02/08/2021
,,DIOL,,,,,,,
22,"2,4-Dichlorobenzyl alcohol",DICHLOROBENZYL ALCOHOL,1777-82-8,217-210-5,0.15%,,,,16/10/2010
23,"1-(4-Chlorophenyl)-3-(3,4-",Triclocarban,101-20-2,202-924-1,"0,2 %",Purity criteria:,For toothpaste containing,,04/04/2024
,dichlorophenyl)urea,,,,,"3,3',4,4'-Tetrachloroazobenzene",Triclocarban the following,,
,,,,,,≤ 1 ppm,labelling is obligatory: ‘Not to be,,
,,,,,,"3,3',4,4'-",used for children under 6 years of,,
,,,,,,Tetrachloroazoxybenzene ≤ 1,age’.,,
,,,,,,ppm,,,
,,,,,,Not to be used in toothpaste,,,
,,,,,,intended for children under 6,,,
,,,,,,years of age.,,,
,,,,,,Cosmetic products containing,,,
,,,,,,that substance that do not,,,
,,,,,,"comply with the conditions may,",,,
,,,,,,provided that they comply with,,,
,,,,,,the conditions applicable on 23,,,
,,,,,,"April 2024, be placed on the",,,
,,,,,,Union market until 31 December,,,
,,,,,,"2024 and, if they have already",,,
,,,,,,been placed on the market,,,
,,,,,,"before that date, continue to be",,,
,,,,,,made available on the Union,,,
,,,,,,market until 31 October 2025.,,,
24,Chlorocresol,P-CHLORO-M-CRESOL,59-50-7,200-431-6,0.2%,,,,25/10/2010
,,Substance identification,,,,Conditions,,,
Reference,,Name of Common Ingredients,,,,Maximum concentration in,,Wording of conditions of use,
Number,Chemical name / INN,Glossary,CAS Number,EC Number,"Product Type, body parts",ready for use preparation,Other,and warnings,Update date
25,"5-Chloro-2-(2,4-",Triclosan,3380-34-5,222-182-2,0.3%,Not to be used in toothpaste,For toothpaste containing,,04/04/2024
,dichlorophenoxy)phenol,,,,,intended for children under 3,Triclosan the following labelling is,,
,,,,,,years of age.,obligatory: ‘Not to be used for,,
,,,,,,,children under 3 years of age’.,,
,,,,,,Cosmetic products containing,,,
,,,,,,that substance that do not,,,
,,,,,,"comply with the conditions may,",,,
,,,,,,provided that they comply with,,,
,,,,,,the conditions applicable on 23,,,
,,,,,,"April 2024, be placed on the",,,
,,,,,,Union market until 31 December,,,
,,,,,,"2024 and, if they have already",,,
,,,,,,been placed on the market,,,
,,,,,,"before that date, continue to be",,,
,,,,,,made available on the Union,,,
,,,,,,market until 31 October 2025.,,,
26,Chloroxylenol,CHLOROXYLENOL,88-04-0 /,201-793-8 /,0.5%,,,,16/10/2010
,,,1321-23-9,215-316-6,,,,,
27,"N,N''-Methylenebis[N'-[3-",IMIDAZOLIDINYL UREA,39236-46-9,254-372-6,0.6%,,,,02/08/2021
,"(hydroxymethyl)-2,5-",,,,,,,,
,dioxoimidazolidin-4-yl]urea],,,,,,,,
28,Polyhexamethylene biguanide,POLYAMINOPROPYL BIGUANIDE,32289-58-0,608-723-9,0.1%,Not to be used in applications,,,28/07/2020
,hydrochloride,,[1]/ 27083-,[1]/ 608-042-,,that may lead to exposure of the,,,
